0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249
4.2501,4.60656,4.90818,5.5114202,5.40174,5.0727,4.16784,4.16784,3.89364,3.2904,3.2904,2.85168,3.18072,3.18072,4.14042,3.04362,3.04362,4.49688,3.1533,3.5097601,3.34524,3.0984602,3.64686,4.3049397,4.71624,3.5097601,2.79684,2.55006,2.9887803,2.9887803,3.0984602,2.6049001,2.6049001,3.1533,2.82426,2.82426,2.90652,2.71458,2.79684,2.7694201,2.65974,2.52264,2.52264,2.742,2.6049001,2.742,2.6049001,2.22102,2.22102,2.41296,2.13876,2.13876,2.08392,2.0565,2.0565,1.5355201,2.27586,2.27586,2.11134,1.97424,1.72746,1.72746,1.6452,1.6452,1.6452,1.56294,1.42584,1.5081,1.56294,1.5355201,1.5355201,1.8097199,1.6452,1.6452,1.59036,1.7000401,1.7000401,1.5081,2.0016599,2.0016599,1.89198,2.0016599,2.0016599,2.0016599,1.7548801,1.7823,1.56294,1.5081,1.371,1.371,1.20648,1.06938,1.06938,1.06938,1.0968,1.0968,1.0968,1.2339001,1.2339001,1.17906,1.28874,1.42584,1.42584,1.17906,1.17906,1.17906,1.0968,1.04196,1.0968,1.04196,1.0968,1.0968,1.0968,1.06938,1.06938,0.93228006,1.12422,1.12422,0.98712,0.93228006,0.85002005,0.85002005,0.87744004,0.98712,0.98712,1.04196,1.06938,1.06938,1.15164,1.15164,1.15164,1.26132,1.15164,1.15164,1.31616,1.34358,1.34358,1.56294,1.0968,1.17906,1.17906,1.17906,1.15164,1.15164,1.04196,1.12422,1.04196,1.15164,1.04196,1.26132,1.31616,1.34358,1.34358,1.31616,1.31616,1.31616,0.98712,1.04196,1.04196,1.04196,1.15164,0.95970005,0.95970005,0.79518,0.87744004,0.87744004,0.74034,0.6855,0.74034,0.8226,0.85002005,0.85002005,0.87744004,0.85002005,0.85002005,0.76776004,0.71292,0.71292,0.6855,0.71292,0.71292,0.76776004,0.90485996,1.0145401,1.0145401,0.93228006,1.12422,1.2339001,1.28874,1.48068,1.48068,1.89198,1.26132,1.26132,1.31616,1.56294,1.56294,1.56294,1.5081,1.5081,1.7548801,1.7000401,1.94682,1.94682,1.5355201,1.6452,1.34358,1.42584,1.5081,1.371,1.26132,0.93228006,0.93228006,0.95970005,0.93228006,0.93228006,0.74034,0.71292,0.71292,0.71292,0.71292,0.79518,0.8226,0.8226,0.85002005,0.8226,0.85002005,0.74034,0.74034,0.85002005,0.71292,0.71292,0.71292,0.74034,0.74034,0.74034,0.74034,0.74034,0.65808,0.6855,0.65808,0.76776004,0.71292,0.71292,0.79518,0.8226,0.8226,0.8226,0.65808,0.63066
4.68882,4.68882,4.96302,5.5114202,5.5114202,4.77108,4.16784,4.16784,3.48234,3.4275002,3.2904,2.85168,3.4275002,3.78396,4.14042,3.89364,3.9759,3.9759,3.1533,3.23556,3.23556,3.0984602,3.64686,3.64686,3.75654,3.5097601,3.5097601,2.742,3.53718,2.9887803,2.65974,2.82426,3.59202,3.1533,3.12588,3.04362,2.90652,2.71458,3.3178198,3.3178198,2.65974,2.82426,2.82426,3.0162,2.6049001,2.6049001,2.3307,2.22102,2.22102,2.41296,1.7548801,2.08392,2.08392,2.0016599,1.61778,1.5355201,2.0290802,1.9194001,1.9194001,1.97424,1.61778,1.61778,1.6452,1.6452,1.6452,1.5081,1.42584,1.42584,1.5355201,1.67262,1.83714,1.83714,1.8097199,1.59036,1.59036,1.67262,1.5355201,1.5081,1.67262,1.7548801,1.7548801,2.0016599,1.8097199,1.8097199,1.5355201,1.7823,1.7823,1.45326,1.371,1.371,1.2339001,1.06938,1.17906,1.17906,1.15164,1.17906,1.0968,1.20648,1.20648,1.17906,1.28874,1.17906,1.17906,1.17906,1.12422,1.12422,1.0968,1.04196,1.04196,1.06938,1.15164,1.04196,1.04196,1.12422,0.93228006,0.93228006,1.04196,1.06938,0.98712,0.93228006,0.8226,0.8226,0.87744004,0.90485996,0.90485996,1.04196,1.06938,1.06938,1.15164,1.15164,1.26132,1.26132,1.34358,1.28874,1.28874,1.31616,1.31616,1.56294,1.26132,1.31616,1.17906,1.17906,1.2339001,1.2339001,1.04196,1.12422,1.12422,1.2339001,1.04196,1.04196,1.17906,1.20648,1.2339001,1.2339001,0.95970005,0.98712,0.98712,0.95970005,1.04196,1.04196,0.95970005,0.93228006,0.93228006,0.79518,0.71292,0.71292,0.71292,0.6855,0.6855,0.76776004,0.85002005,0.90485996,0.90485996,0.76776004,0.76776004,0.76776004,0.76776004,0.6855,0.6855,0.71292,0.79518,0.79518,0.90485996,0.85002005,0.85002005,0.93228006,1.12422,1.12422,1.04196,1.48068,1.48068,1.39842,1.34358,1.371,1.371,1.34358,1.371,1.56294,1.67262,1.67262,1.67262,1.7000401,2.0016599,2.0016599,1.5355201,1.6452,1.6452,1.6452,1.5081,1.5081,1.17906,1.0968,0.93228006,0.8226,0.76776004,0.76776004,0.74034,0.63066,0.65808,0.65808,0.71292,0.76776004,0.76776004,0.8226,0.85002005,0.85002005,0.76776004,0.74034,0.74034,0.71292,0.6855,0.71292,0.8226,0.90485996,0.90485996,0.74034,0.57582,0.60324,0.60324,0.6855,0.74034,0.74034,0.71292,0.8226,0.8226,0.76776004,0.8226,0.8226,0.65808,0.57582
5.12754,5.12754,4.96302,4.9356003,4.82592,4.77108,4.16784,3.53718,3.53718,3.4275002,3.67428,3.67428,3.75654,3.78396,3.78396,3.59202,3.9759,3.9759,2.63232,2.8791,3.23556,3.5097601,3.89364,3.20814,3.75654,3.4000802,4.35978,4.35978,3.53718,3.8113801,3.8113801,2.82426,3.59202,3.59202,3.7017002,3.04362,3.04362,3.7291203,3.64686,3.3178198,2.742,2.8791,3.0162,3.0162,2.3307,2.13876,2.3307,2.52264,2.0565,2.0565,1.7548801,1.6452,1.6452,1.8097199,1.61778,1.61778,1.83714,1.9194001,1.9194001,0.79518,1.7000401,1.61778,1.61778,1.39842,1.48068,1.5081,1.5081,1.61778,1.5355201,1.67262,1.89198,1.89198,1.8097199,1.61778,1.61778,1.31616,1.5355201,1.5355201,1.56294,1.56294,1.6452,1.6452,1.5355201,1.5355201,1.5355201,1.56294,1.28874,1.45326,1.371,1.34358,1.34358,1.06938,1.12422,1.12422,1.15164,1.17906,1.17906,1.12422,1.20648,1.20648,1.20648,1.17906,1.2339001,1.2339001,1.371,1.15164,1.0968,1.12422,1.12422,1.06938,1.15164,1.0968,1.0968,1.12422,0.98712,0.98712,1.04196,1.06938,1.06938,0.93228006,0.8226,0.95970005,0.95970005,0.95970005,1.04196,1.04196,0.93228006,1.12422,1.15164,1.20648,1.20648,1.20648,1.34358,1.2339001,1.2339001,1.31616,1.31616,1.31616,1.42584,1.31616,1.26132,1.26132,1.26132,1.0968,1.0968,1.12422,1.31616,1.2339001,1.26132,1.17906,1.17906,1.20648,1.0145401,1.0145401,0.95970005,0.87744004,0.87744004,0.74034,1.04196,1.04196,0.85002005,0.79518,0.8226,0.8226,0.71292,0.71292,0.71292,0.85002005,0.8226,0.76776004,0.8226,0.85002005,0.85002005,0.76776004,0.8226,0.8226,0.76776004,0.6855,0.6855,0.8226,0.79518,0.93228006,0.93228006,0.8226,0.8226,0.8226,0.90485996,0.98712,1.04196,1.31616,0.98712,0.98712,1.34358,1.371,1.371,1.34358,1.371,1.371,1.5355201,1.67262,1.67262,1.8097199,1.61778,1.9194001,1.9194001,1.7000401,1.7000401,1.6452,1.72746,1.371,1.371,1.0968,0.93228006,0.93228006,0.76776004,0.76776004,0.76776004,0.65808,0.65808,0.65808,0.76776004,0.74034,0.76776004,0.8226,0.85002005,0.76776004,0.76776004,0.6855,0.71292,0.71292,0.6855,0.74034,0.74034,0.90485996,0.79518,0.79518,0.6855,0.60324,0.60324,0.6855,0.65808,0.74034,0.76776004,0.71292,0.71292,0.76776004,0.6855,0.74034,0.74034,0.57582
5.12754,4.6614,4.6614,4.71624,4.82592,4.82592,4.60656,3.92106,3.53718,3.45492,3.8388002,3.67428,3.75654,3.23556,3.0710402,3.59202,3.20814,2.93394,2.93394,2.8791,2.90652,2.90652,2.6049001,3.20814,3.20814,3.45492,4.35978,4.35978,3.12588,3.3178198,3.8113801,4.0033197,4.14042,3.86622,3.7017002,3.4000802,3.45492,3.7291203,3.64686,3.0984602,3.0984602,2.8791,2.27586,2.27586,1.94682,2.13876,2.13876,1.34358,1.83714,2.0565,1.97424,1.7823,1.8097199,1.8097199,1.8097199,1.61778,1.83714,1.8645601,1.7548801,1.7548801,1.7000401,1.67262,1.67262,1.39842,1.48068,1.48068,1.31616,1.61778,1.61778,1.6452,1.7823,1.59036,1.59036,1.61778,1.48068,1.31616,1.5355201,1.28874,1.56294,1.56294,1.39842,1.39842,1.5355201,1.34358,1.34358,1.34358,1.28874,1.28874,1.45326,1.34358,1.28874,1.28874,1.2339001,1.0968,1.0968,1.26132,1.26132,1.12422,1.12422,1.12422,1.12422,1.17906,1.31616,1.31616,1.371,1.15164,1.15164,1.26132,1.12422,1.12422,1.15164,1.15164,1.31616,1.31616,1.17906,1.04196,1.04196,1.0968,1.0968,0.93228006,1.0145401,0.95970005,0.95970005,0.95970005,1.0968,1.0968,0.79518,1.12422,1.12422,1.20648,1.20648,1.0145401,1.0145401,1.17906,1.2339001,1.2339001,1.34358,1.5081,1.42584,1.42584,1.371,1.371,1.26132,1.28874,1.28874,1.12422,1.31616,1.31616,1.20648,1.17906,0.98712,0.98712,0.98712,0.79518,0.79518,0.87744004,0.93228006,0.74034,1.04196,0.98712,0.85002005,0.79518,0.76776004,0.76776004,0.71292,0.76776004,0.76776004,0.76776004,0.8226,0.8226,0.79518,0.90485996,0.87744004,0.87744004,0.87744004,0.76776004,0.76776004,0.65808,0.76776004,0.8226,0.79518,0.8226,0.8226,0.8226,0.74034,0.74034,0.71292,0.98712,0.98712,0.98712,0.98712,0.98712,1.20648,1.34358,1.371,1.371,1.31616,1.39842,1.5355201,1.6452,1.72746,1.72746,1.61778,1.8645601,1.8645601,1.89198,1.7000401,1.7000401,1.7000401,1.371,1.371,1.0968,0.90485996,0.85002005,0.85002005,0.85002005,0.6855,0.65808,0.74034,0.71292,0.71292,0.74034,0.79518,0.79518,0.8226,0.76776004,0.76776004,0.79518,0.71292,0.71292,0.6855,0.76776004,0.74034,0.76776004,0.60324,0.57582,0.6855,0.65808,0.6855,0.6855,0.65808,0.74034,0.74034,0.63066,0.71292,0.71292,0.6855,0.74034,0.74034,0.6855
4.49688,4.113,4.113,4.71624,4.22268,3.59202,4.60656,3.92106,3.8388002,3.8388002,3.8388002,3.48234,3.48234,3.12588,3.0710402,3.0710402,3.18072,3.0162,2.93394,3.04362,2.55006,2.90652,2.6049001,3.0984602,2.93394,3.45492,3.75654,2.55006,2.55006,3.3178198,2.90652,2.90652,4.14042,3.86622,3.86622,3.4275002,3.45492,3.45492,3.89364,3.20814,3.0984602,2.24844,2.16618,1.61778,1.94682,1.59036,1.61778,1.34358,1.83714,2.0016599,2.0016599,1.7823,1.7000401,1.7000401,1.48068,1.61778,1.61778,0.87744004,1.7548801,1.7548801,1.7548801,1.7000401,1.48068,1.48068,1.48068,1.42584,1.31616,1.59036,1.5355201,1.5355201,1.7823,1.59036,1.59036,1.61778,1.48068,1.48068,1.5355201,1.28874,1.28874,1.31616,1.371,1.31616,1.31616,1.26132,1.34358,1.34358,1.371,1.34358,1.45326,1.48068,1.371,1.371,1.2339001,1.17906,1.17906,1.28874,1.26132,1.26132,1.39842,1.12422,1.0968,1.0968,1.20648,1.39842,1.39842,1.31616,1.17906,1.26132,1.17906,1.06938,1.15164,1.15164,1.45326,1.45326,1.17906,1.17906,1.17906,1.34358,1.0968,1.0968,1.12422,1.06938,1.06938,1.06938,0.98712,0.79518,0.79518,1.12422,1.12422,1.20648,1.0968,1.28874,1.28874,1.17906,1.34358,1.34358,1.39842,1.5081,1.5081,1.45326,1.371,1.34358,1.34358,1.371,1.15164,1.15164,1.04196,0.95970005,1.20648,1.06938,0.98712,0.98712,0.98712,0.93228006,0.93228006,0.87744004,0.93228006,0.93228006,0.87744004,0.98712,0.90485996,0.90485996,0.74034,0.6855,0.6855,0.63066,0.76776004,0.76776004,0.74034,0.79518,0.79518,0.90485996,0.87744004,0.87744004,0.87744004,0.76776004,0.76776004,0.74034,0.76776004,0.76776004,0.79518,0.6855,0.71292,0.71292,0.6855,0.71292,0.71292,0.76776004,0.6855,0.98712,1.0968,1.04196,1.04196,1.34358,1.28874,1.28874,1.31616,1.39842,1.39842,1.5081,1.72746,1.72746,1.7548801,1.7548801,1.89198,1.89198,1.8097199,1.39842,1.7000401,1.5081,1.2339001,1.2339001,0.90485996,0.85002005,0.85002005,0.8226,0.6855,0.6855,0.63066,0.71292,0.71292,0.57582,0.76776004,0.79518,0.8226,0.79518,0.6855,0.79518,0.74034,0.63066,0.63066,0.76776004,0.5484,0.5484,0.60324,0.57582,0.57582,0.65808,0.6855,0.6855,0.76776004,0.76776004,0.74034,0.63066,0.6855,0.6855,0.6855,0.65808,0.65808,0.65808
4.2501,4.113,4.90818,4.90818,4.5243,3.59202,3.59202,3.5646,3.75654,3.8388002,3.9759,3.7017002,3.7017002,3.12588,2.9887803,2.65974,3.18072,3.0162,2.63232,2.63232,2.55006,2.24844,2.24844,2.3307,2.93394,2.93394,2.35812,2.55006,2.55006,2.57748,2.30328,2.90652,3.04362,2.38554,2.35812,3.4275002,3.3178198,2.742,2.742,3.20814,2.49522,2.49522,2.16618,1.61778,1.61778,1.59036,1.61778,1.61778,1.7548801,1.56294,2.0016599,1.7823,1.67262,1.48068,1.48068,1.56294,1.7000401,0.87744004,1.94682,1.83714,1.83714,1.7000401,1.61778,1.61778,1.56294,1.42584,1.42584,1.59036,1.5355201,1.5355201,1.7000401,1.56294,1.5355201,1.5355201,1.15164,1.45326,1.5355201,1.59036,1.39842,1.31616,1.371,1.2339001,1.2339001,1.26132,1.06938,1.06938,1.371,1.34358,1.34358,1.39842,1.371,1.34358,1.34358,1.34358,1.28874,1.28874,1.371,1.5355201,1.39842,1.2339001,1.15164,1.15164,1.20648,1.45326,1.45326,1.31616,1.17906,1.17906,1.04196,1.06938,1.39842,1.39842,1.39842,1.31616,1.31616,1.39842,1.45326,1.34358,1.20648,1.12422,1.12422,1.06938,0.87744004,0.87744004,0.98712,0.95970005,0.95970005,0.95970005,1.12422,1.12422,1.0968,1.28874,1.17906,1.17906,1.31616,1.39842,1.39842,1.61778,1.5355201,1.45326,1.42584,1.61778,1.61778,1.371,1.15164,1.15164,1.04196,0.95970005,0.95970005,0.98712,0.98712,0.90485996,0.90485996,0.90485996,0.95970005,0.95970005,0.85002005,0.8226,0.87744004,0.93228006,0.79518,0.90485996,0.74034,0.63066,0.63066,0.63066,0.79518,0.79518,0.8226,0.79518,0.79518,0.76776004,0.76776004,0.79518,0.79518,0.6855,0.74034,0.74034,0.6855,0.8226,0.79518,0.6855,0.6855,0.6855,0.6855,0.65808,0.65808,0.6855,0.6855,0.6855,0.76776004,0.93228006,1.12422,1.12422,1.371,1.31616,1.31616,1.34358,1.34358,1.5081,1.42584,1.56294,1.56294,1.7548801,1.7000401,1.7000401,1.45326,1.39842,1.39842,1.42584,1.2339001,1.2339001,0.98712,0.95970005,0.8226,0.8226,0.6855,0.65808,0.63066,0.63066,0.6855,0.6855,0.76776004,0.76776004,0.76776004,0.71292,0.6855,0.6855,0.79518,0.63066,0.63066,0.71292,0.5484,0.5484,0.60324,0.5484,0.6855,0.65808,0.71292,0.65808,0.65808,0.76776004,0.74034,0.74034,0.74034,0.65808,0.65808,0.71292,0.60324,0.65808
4.2501,5.18238,4.90818,4.90818,4.5243,4.3872,3.48234,3.48234,3.75654,3.7291203,3.7291203,3.7017002,3.20814,3.20814,3.04362,2.65974,2.65974,3.4275002,2.65974,2.63232,2.0290802,2.16618,2.24844,2.3307,2.4678001,2.52264,2.35812,2.52264,2.55006,2.55006,2.30328,2.35812,2.35812,2.16618,2.35812,2.35812,2.11134,2.742,2.742,2.35812,2.22102,2.49522,1.94682,1.67262,1.5355201,1.59036,1.5355201,1.72746,1.7548801,1.56294,1.61778,1.61778,1.67262,1.67262,1.67262,1.7000401,1.7000401,1.7000401,1.2339001,1.8097199,1.83714,1.5081,1.6452,1.56294,1.56294,0.85002005,1.61778,1.59036,1.5355201,1.67262,1.67262,1.56294,1.45326,1.45326,1.15164,1.45326,1.45326,1.5355201,1.39842,1.39842,1.34358,1.26132,1.20648,1.20648,1.2339001,1.371,1.371,1.34358,1.34358,1.39842,1.371,1.31616,1.31616,1.34358,1.12422,1.12422,1.39842,1.5355201,1.5355201,1.67262,1.15164,1.42584,1.42584,1.28874,1.42584,1.42584,1.34358,1.31616,1.04196,1.06938,1.31616,1.31616,1.39842,1.28874,1.28874,1.39842,1.45326,1.45326,1.2339001,1.12422,1.04196,1.04196,0.95970005,1.04196,1.04196,0.95970005,0.95970005,0.95970005,0.90485996,1.0968,1.0968,1.20648,1.34358,1.34358,1.31616,1.42584,1.42584,1.5355201,1.5355201,1.5355201,1.2339001,1.61778,1.31616,1.31616,1.0145401,0.87744004,0.87744004,0.95970005,0.87744004,0.98712,0.93228006,0.85002005,0.85002005,0.90485996,0.85002005,0.85002005,0.85002005,0.8226,0.8226,0.79518,0.79518,0.74034,0.74034,0.6855,0.6855,0.6855,0.79518,0.8226,0.8226,0.76776004,0.65808,0.76776004,0.76776004,0.85002005,0.85002005,0.6855,0.87744004,0.87744004,0.8226,0.8226,0.8226,0.74034,0.6855,0.6855,0.6855,0.6855,0.6855,0.6855,0.6855,0.74034,0.76776004,0.93228006,1.0145401,1.0145401,1.371,1.20648,1.20648,1.20648,1.34358,1.34358,1.48068,1.34358,1.6452,1.6452,1.5081,1.45326,1.45326,1.31616,1.48068,1.42584,1.2339001,1.04196,1.04196,0.95970005,0.87744004,0.87744004,0.79518,0.65808,0.65808,0.65808,0.65808,0.6855,0.71292,0.79518,0.71292,0.71292,0.74034,0.79518,0.79518,0.71292,0.65808,0.65808,0.5484,0.57582,0.57582,0.65808,0.6855,0.6855,0.6855,0.76776004,0.65808,0.71292,0.79518,0.74034,0.74034,0.6855,0.65808,0.71292,0.60324,0.57582
4.60656,4.60656,4.90818,4.27752,4.27752,3.53718,3.48234,3.48234,3.59202,3.4275002,3.7291203,2.85168,2.24844,2.24844,3.04362,2.6049001,3.23556,3.4275002,2.65974,2.30328,2.30328,2.16618,1.9194001,1.9194001,2.08392,2.52264,2.52264,2.38554,2.13876,2.55006,2.0016599,1.97424,2.35812,2.16618,2.0016599,1.83714,2.11134,2.1936,2.1936,2.1936,2.22102,1.97424,1.97424,1.67262,1.5355201,1.5355201,1.5355201,1.72746,1.72746,1.8097199,1.8097199,1.61778,1.72746,1.8097199,1.7000401,1.7000401,1.42584,1.45326,1.2339001,1.8097199,2.0016599,2.0016599,1.6452,1.67262,1.67262,1.89198,1.61778,1.61778,1.5355201,1.67262,1.67262,1.5355201,1.42584,1.34358,1.34358,1.31616,1.2339001,1.5355201,1.5081,1.34358,1.34358,1.26132,1.17906,1.17906,1.2339001,1.06938,1.06938,1.31616,1.34358,1.34358,1.371,1.2339001,1.31616,1.31616,1.15164,1.39842,1.39842,1.5081,1.7000401,1.67262,1.7000401,1.42584,1.42584,1.28874,1.2339001,1.2339001,1.42584,1.31616,1.31616,1.26132,1.31616,1.371,1.371,1.42584,1.31616,1.31616,1.28874,1.15164,1.2339001,1.12422,0.93228006,1.04196,0.95970005,0.90485996,0.90485996,0.95970005,0.90485996,0.90485996,0.93228006,1.0968,1.2339001,1.2339001,1.371,1.42584,1.42584,1.45326,1.5355201,1.5355201,1.20648,1.26132,1.2339001,1.28874,1.20648,1.20648,1.0145401,0.95970005,0.95970005,0.93228006,0.87744004,0.87744004,1.04196,0.85002005,0.87744004,0.87744004,0.8226,0.95970005,0.95970005,0.79518,0.8226,0.79518,0.79518,0.8226,0.8226,0.6855,0.74034,0.74034,0.79518,0.8226,0.8226,0.71292,0.65808,0.79518,0.79518,0.74034,0.79518,0.79518,0.71292,0.8226,0.8226,0.79518,0.74034,0.74034,0.6855,0.71292,0.71292,0.6855,0.71292,0.71292,0.85002005,0.74034,0.74034,0.76776004,0.90485996,0.93228006,0.93228006,1.15164,1.20648,1.20648,1.34358,1.48068,1.48068,1.34358,1.5081,1.5081,1.5081,1.48068,1.48068,1.45326,1.48068,1.48068,1.31616,1.26132,1.04196,0.90485996,0.8226,0.79518,0.79518,0.74034,0.60324,0.65808,0.65808,0.6855,0.6855,0.79518,0.8226,0.8226,0.6855,0.79518,0.79518,0.74034,0.6855,0.65808,0.63066,0.63066,0.57582,0.65808,0.6855,0.6855,0.6855,0.76776004,0.79518,0.79518,0.79518,0.63066,0.63066,0.71292,0.65808,0.65808,0.60324,0.63066
4.46946,4.60656,4.90818,4.19526,4.19526,3.53718,3.18072,3.48234,3.48234,3.4275002,2.1936,2.1936,2.24844,2.85168,2.85168,2.3307,3.23556,3.23556,2.41296,2.1936,2.30328,1.94682,2.22102,2.22102,2.08392,2.24844,2.16618,2.38554,2.13876,2.0565,2.0565,1.97424,1.9194001,1.9194001,2.0016599,1.83714,1.83714,1.9194001,2.1936,2.1936,2.08392,2.27586,1.97424,1.7823,1.89198,1.7823,1.5355201,1.371,1.59036,1.8097199,1.8097199,1.7548801,1.7548801,1.8097199,1.9194001,1.9194001,1.8645601,1.45326,1.45326,1.97424,1.5081,2.0016599,1.97424,1.31616,1.89198,1.89198,1.7548801,1.42584,1.5355201,1.59036,1.6452,1.6452,1.42584,1.17906,1.17906,1.31616,1.2339001,1.2339001,1.0968,1.34358,1.34358,1.28874,1.15164,1.0145401,1.0145401,1.12422,1.2339001,1.31616,1.42584,1.371,1.371,1.2339001,1.0968,1.0968,1.15164,1.20648,1.20648,1.2339001,1.7000401,1.7000401,1.42584,1.42584,1.42584,1.42584,1.5081,1.42584,1.42584,1.371,1.20648,1.26132,1.48068,1.45326,1.45326,1.42584,1.31616,1.31616,1.28874,1.15164,1.15164,1.17906,0.93228006,0.98712,0.98712,1.0145401,1.0145401,1.0145401,1.12422,1.0145401,0.93228006,1.06938,1.31616,1.2339001,1.371,1.42584,1.42584,1.45326,1.31616,1.31616,1.2339001,1.26132,1.26132,1.28874,1.20648,1.20648,1.20648,1.06938,0.93228006,0.93228006,0.85002005,0.98712,1.04196,1.0145401,0.90485996,0.90485996,0.8226,0.8226,0.8226,0.79518,0.8226,0.8226,0.76776004,0.8226,0.8226,0.8226,0.71292,0.76776004,0.76776004,0.87744004,0.71292,0.71292,0.8226,0.71292,0.71292,0.74034,0.71292,0.71292,0.71292,0.8226,0.8226,0.79518,0.74034,0.74034,0.8226,0.79518,0.74034,0.74034,0.74034,0.71292,0.85002005,0.74034,0.93228006,0.76776004,0.90485996,0.95970005,0.95970005,1.15164,1.28874,1.28874,1.48068,1.48068,1.48068,1.34358,1.34358,1.371,1.371,1.45326,1.45326,1.45326,1.5355201,1.45326,1.31616,1.26132,0.93228006,0.93228006,0.8226,0.6855,0.6855,0.6855,0.60324,0.60324,0.60324,0.57582,0.6855,0.63066,0.6855,0.6855,0.6855,0.79518,0.74034,0.74034,0.6855,0.5484,0.5484,0.63066,0.60324,0.60324,0.6855,0.6855,0.6855,0.6855,0.79518,0.79518,0.76776004,0.76776004,0.76776004,0.71292,0.57582,0.63066,0.60324,0.63066
4.46946,3.89364,3.89364,3.59202,3.45492,3.45492,3.20814,3.48234,3.48234,3.0162,2.3307,2.1936,2.30328,2.52264,2.52264,2.3307,2.4678001,2.1936,2.1936,2.1936,2.3307,2.3307,2.22102,2.13876,2.13876,2.41296,2.16618,2.16618,2.30328,1.97424,2.0565,2.35812,2.24844,1.9194001,2.0016599,1.94682,2.0565,1.9194001,2.0565,2.1936,2.1936,2.27586,1.94682,1.94682,1.89198,1.7823,1.7823,1.5355201,1.59036,1.59036,1.61778,0.8226,1.7548801,1.9194001,1.89198,1.7548801,1.8645601,1.59036,1.8097199,1.97424,1.5081,1.7548801,1.7548801,1.31616,1.56294,1.56294,1.26132,1.42584,1.42584,1.5081,1.6452,1.6452,1.39842,1.28874,1.26132,1.26132,1.2339001,1.12422,1.0968,1.26132,1.17906,1.17906,1.15164,1.17906,1.17906,1.12422,1.2339001,1.2339001,1.20648,1.371,1.371,1.26132,1.2339001,1.20648,1.20648,1.42584,1.2339001,1.2339001,1.39842,1.5081,1.42584,1.34358,1.34358,1.34358,1.5081,1.42584,1.42584,1.39842,1.20648,1.20648,1.34358,1.45326,1.42584,1.42584,1.56294,1.48068,1.48068,1.42584,1.34358,1.17906,1.0968,1.12422,1.12422,1.0145401,1.0145401,1.0145401,1.12422,1.0145401,1.0145401,1.0968,1.31616,1.2339001,1.2339001,1.28874,1.56294,1.56294,1.31616,1.2339001,1.2339001,1.20648,1.15164,1.28874,1.20648,1.12422,1.12422,1.06938,0.90485996,0.90485996,0.93228006,0.98712,0.98712,0.95970005,0.90485996,0.90485996,0.90485996,0.93228006,0.87744004,0.87744004,0.90485996,0.90485996,0.76776004,0.85002005,0.8226,0.8226,0.71292,0.6855,0.6855,0.87744004,0.71292,0.71292,0.71292,0.71292,0.79518,0.79518,0.74034,0.71292,0.71292,0.79518,0.71292,0.79518,0.87744004,0.76776004,0.8226,0.79518,0.65808,0.65808,0.74034,0.71292,0.71292,0.76776004,0.93228006,0.93228006,0.76776004,0.85002005,0.87744004,0.87744004,1.04196,1.17906,1.48068,1.34358,1.39842,1.34358,1.34358,1.42584,1.42584,1.45326,1.34358,1.34358,1.45326,1.45326,1.45326,1.371,1.06938,0.8226,0.8226,0.76776004,0.74034,0.6855,0.60324,0.5484,0.60324,0.57582,0.74034,0.74034,0.6855,0.65808,0.65808,0.6855,0.74034,0.74034,0.71292,0.71292,0.5484,0.49356,0.63066,0.65808,0.6855,0.60324,0.63066,0.6855,0.79518,0.87744004,0.87744004,0.76776004,0.74034,0.74034,0.57582,0.63066,0.63066,0.65808
